Date,Sum of Nitric oxide,Sum of Nitrogen dioxide,Sum of Nitrogen oxides as nitrogen dioxide
02/04/2013,521.46621,1315.50756,2115.07791
03/04/2013,574.96602,1385.11696,2266.71924
04/04/2013,653.88738,1490.19721,2492.81049
05/04/2013,638.24521,1440.39891,2419.02789
06/04/2013,478.42448,1511.14929,2244.72325
07/04/2013,251.36837,1517.10351,1902.52967
08/04/2013,608.79402,1678.30768,2611.77888
09/04/2013,1071.78807,1699.35856,3342.74401
10/04/2013,778.2619,1326.43556,2519.75382
11/04/2013,955.6767,1624.29756,3089.64808
12/04/2013,298.22308,1414.22283,1871.49185
13/04/2013,118.98825,873.10123,1055.54735
14/04/2013,49.63632,355.22792,431.33584
15/04/2013,70.11489,603.72334,711.23132
16/04/2013,91.20008,676.04102,815.87921
17/04/2013,90.88848,572.92047,712.28084
18/04/2013,93.56009,588.04149,731.49827
19/04/2013,814.24203,1542.58632,2791.07335
20/04/2013,371.08993,1230.53359,1799.53024
21/04/2013,203.71999,916.26728,1228.63354
22/04/2013,89.15389,560.68747,697.38819
23/04/2013,499.9012,1275.0724,2041.57687
24/04/2013,328.63342,924.44898,1428.34648
25/04/2013,437.30985,917.87156,1588.40391
26/04/2013,861.95573,1359.06286,2680.70981
27/04/2013,559.86328,1201.6303,2060.07535
28/04/2013,128.56628,689.34007,886.47229
29/04/2013,605.65388,1250.37818,2179.03444
30/04/2013,581.45884,1205.88607,2097.44385
01/05/2013,556.69632,1188.29155,2041.88064
02/05/2013,752.36399,1603.23951,2756.8482
03/05/2013,637.98512,1664.98905,2643.21922
04/05/2013,107.63303,647.26619,812.30123
05/05/2013,119.19949,708.46125,891.23124
06/05/2013,233.21941,784.63817,1142.23634
07/05/2013,1031.50859,2169.43495,3751.05941
08/05/2013,228.19885,1066.38276,1416.28277
09/05/2013,73.55714,441.49488,554.28094
10/05/2013,99.39703,656.40331,808.80997
11/05/2013,125.89011,719.79297,912.82176
12/05/2013,127.25287,657.4719,852.59029
13/05/2013,117.71499,686.63184,867.1256
14/05/2013,139.52614,772.00182,985.93888
15/05/2013,188.66806,878.23515,1167.52209
16/05/2013,514.88017,1511.64192,2301.11381
17/05/2013,695.33806,1675.61489,2741.78501
18/05/2013,480.87375,1422.0424,2159.37186
19/05/2013,633.01342,1654.82665,2625.43364
20/05/2013,817.17964,1529.4213,2782.41259
21/05/2013,690.87024,1324.3484,2383.66796
22/05/2013,743.17959,1362.30706,2501.83323
23/05/2013,756.08657,1402.2823,2561.59884
24/05/2013,732.9349,1556.92897,2680.74682
25/05/2013,496.85089,1392.26429,2154.09162
26/05/2013,339.87542,1277.29835,1798.43339
27/05/2013,39.2621,541.2592,601.46023
28/05/2013,300.24934,1350.1697,1810.5456
29/05/2013,712.7273,1574.12649,2666.95974
30/05/2013,708.8272,1489.89633,2576.74952
31/05/2013,524.62407,1741.90197,2546.3143
01/06/2013,458.23985,1060.73961,1763.3642
02/06/2013,366.2181,1070.53017,1632.05673
03/06/2013,299.73461,1050.43123,1510.01785
04/06/2013,501.78507,1029.20264,1798.59568
05/06/2013,414.96945,1077.87275,1714.15034
06/06/2013,405.85448,1078.8325,1701.13405
07/06/2013,452.38326,1102.2208,1795.86539
08/06/2013,308.97887,645.13295,1118.89395
09/06/2013,288.39138,570.92574,1013.11963
10/06/2013,283.95357,985.7669,1419.23707
11/06/2013,279.10084,1131.66084,1559.60949
12/06/2013,129.29908,590.49107,788.74689
13/06/2013,110.71036,610.57775,779.28132
14/06/2013,115.35332,622.48404,799.35663
15/06/2013,75.36781,411.00407,526.56642
16/06/2013,80.30493,464.54865,587.68114
17/06/2013,540.46581,1434.73135,2263.43404
18/06/2013,472.7525,1264.104,1988.98105
19/06/2013,577.72683,1649.48951,2535.32491
20/06/2013,302.0683,1218.21165,1681.37662
21/06/2013,133.3574,732.37277,936.85119
22/06/2013,60.69479,382.31018,475.37419
23/06/2013,113.64528,493.77784,668.03146
24/06/2013,480.35581,1133.63167,1870.16698
25/06/2013,518.27289,1318.19798,2112.872
26/06/2013,709.16397,1517.939,2605.30856
27/06/2013,403.48574,1060.51776,1679.18729
28/06/2013,529.30962,902.95497,1714.55181
29/06/2013,430.12216,981.11345,1640.6249
30/06/2013,188.17226,570.14735,858.6741
01/07/2013,232.92466,825.0541,1182.20024
02/07/2013,206.98102,879.67319,1197.03963
03/07/2013,486.55718,819.17891,1565.22283
04/07/2013,234.37568,675.47414,1034.84515
05/07/2013,221.28276,1080.8014,1420.09694
06/07/2013,204.85585,1262.52795,1576.63584
07/07/2013,150.65692,1102.4463,1333.45029
08/07/2013,243.89633,939.84492,1313.81405
09/07/2013,412.97066,1032.11298,1665.32579
10/07/2013,449.64386,1061.41008,1750.8544
11/07/2013,309.20692,879.14898,1353.25966
12/07/2013,348.30823,1063.16355,1597.22866
13/07/2013,539.20115,1503.67047,2330.43401
14/07/2013,284.62534,1365.96694,1802.38637
15/07/2013,391.87299,1541.46276,2142.32624
16/07/2013,499.7922,1828.52276,2594.86008
17/07/2013,145.94814,1397.86442,1621.64843
18/07/2013,247.75475,1040.01624,1419.90152
19/07/2013,232.64185,706.31064,1063.02314
20/07/2013,226.04415,470.49335,817.08947
21/07/2013,100.86085,610.63018,761.6399
22/07/2013,204.48153,980.46623,1294.00021
23/07/2013,158.52249,1190.37458,1433.43901
24/07/2013,174.07455,518.43366,785.34423
25/07/2013,145.37624,555.95385,778.86101
