Date,Sum of Nitric oxide,Sum of Nitrogen dioxide,Sum of Nitrogen oxides as nitrogen dioxide
26/04/2013,2310,1830,5333
27/04/2013,1368,1244,3332
28/04/2013,443,683,1353
29/04/2013,651,1132,2131
30/04/2013,1437,1313,3517
01/05/2013,915,1079,2482
02/05/2013,2518,1743,5604
03/05/2013,1153,1060,2829
04/05/2013,1066,1168,2798
05/05/2013,741,776,1912
06/05/2013,1306,1191,3195
07/05/2013,3680,2372,8015
08/05/2013,2425,1916,5635
09/05/2013,3074,1808,6512
10/05/2013,1221,1338,3210
11/05/2013,724,829,1940
12/05/2013,826,663,1893
13/05/2013,940,863,2305
14/05/2013,1019,1166,2729
15/05/2013,2529,1648,5525
16/05/2013,3408,1863,7088
17/05/2013,4702,2689,9891
18/05/2013,3214,2180,7107
19/05/2013,1788,1552,4294
20/05/2013,1128,1153,2883
21/05/2013,686,849,1901
22/05/2013,790,929,2140
23/05/2013,2403,1480,5165
24/05/2013,4488,2470,9352
25/05/2013,1575,1422,3837
26/05/2013,892,875,2180
27/05/2013,2038,1392,4507
28/05/2013,3999,2465,8598
29/05/2013,3951,2717,8775
30/05/2013,2671,2209,6304
31/05/2013,768,913,2090
01/06/2013,811,916,2159
02/06/2013,539,679,1506
03/06/2013,1387,1056,3133
04/06/2013,3917,2046,8048
05/06/2013,3757,1917,7625
06/06/2013,3145,1750,6534
07/06/2013,4339,2300,8940
08/06/2013,3027,2001,6617
09/06/2013,1961,1297,4159
10/06/2013,4480,2247,9135
11/06/2013,3560,1923,7386
12/06/2013,1524,1185,3393
13/06/2013,677,770,1721
14/06/2013,1542,947,3307
15/06/2013,1114,695,2391
16/06/2013,210,182,504
17/06/2013,3439,1424,6368
18/06/2013,1836,1012,3834
19/06/2013,680,695,1738
20/06/2013,2815,1271,5524
21/06/2013,1204,970,2805
22/06/2013,1235,757,2641
23/06/2013,475,577,1305
24/06/2013,646,576,1566
25/06/2013,1662,869,3200
26/06/2013,571,597,1472
27/06/2013,1436,683,2885
28/06/2013,1112,583,2200
29/06/2013,1150,699,2453
30/06/2013,476,360,974
01/07/2013,830,716,1989
02/07/2013,3041,1476,6047
03/07/2013,1449,830,3039
04/07/2013,914,640,2013
05/07/2013,1286,941,2913
06/07/2013,1626,1039,3425
07/07/2013,751,658,1799
08/07/2013,2027,1266,4388
09/07/2013,926,813,2233
10/07/2013,1768,793,3503
11/07/2013,2181,1423,4767
12/07/2013,1045,1214,2817
13/07/2013,769,838,2017
14/07/2013,389,548,1145
15/07/2013,712,831,1908
16/07/2013,1308,976,2981
17/07/2013,914,917,2307
18/07/2013,846,775,2072
19/07/2013,4600,2465,9510
20/07/2013,3322,1969,7062
21/07/2013,1770,1355,4066
22/07/2013,2695,1807,5940
23/07/2013,3485,2153,7496
24/07/2013,1198,660,2497
25/07/2013,4580,2399,9422
26/07/2013,1764,1286,3990
27/07/2013,3142,1830,6647
28/07/2013,1759,1447,4145
29/07/2013,2547,1380,5286
30/07/2013,1310,992,2978
31/07/2013,2702,1407,5361
01/08/2013,3824,1665,7520
02/08/2013,1849,1161,4001
03/08/2013,927,868,2281
04/08/2013,847,827,2126
05/08/2013,1525,1264,3602
06/08/2013,1360,1163,3248
07/08/2013,851,471,1777
08/08/2013,1258,968,2898
09/08/2013,1195,1221,3053
10/08/2013,1350,1209,3279
11/08/2013,713,815,1907
12/08/2013,948,932,2385
13/08/2013,1329,1200,3237
14/08/2013,3062,1715,6418
15/08/2013,1774,1198,3918
16/08/2013,1848,1338,4166
17/08/2013,1420,1197,3338
18/08/2013,603,739,1647
19/08/2013,1021,936,2501
20/08/2013,1088,686,2297
21/08/2013,683,517,1539
22/08/2013,4626,2042,9073
23/08/2013,3677,2091,7729
24/08/2013,1385,1244,3368
25/08/2013,1705,1459,4052
26/08/2013,1678,1164,3729
27/08/2013,1329,1005,3043
28/08/2013,1763,1284,3987
29/08/2013,1361,1015,3069
30/08/2013,1387,993,3120
31/08/2013,671,755,1784
01/09/2013,420,548,1192
02/09/2013,601,533,1451
03/09/2013,1184,942,2757
04/09/2013,1908,1447,4373
05/09/2013,1124,1214,2937
06/09/2013,4923,2207,9755
07/09/2013,3001,1890,6463
08/09/2013,2001,1322,4261
09/09/2013,2583,1560,5521
10/09/2013,1080,1108,2764
11/09/2013,2063,1283,4446
12/09/2013,1706,1055,3634
13/09/2013,4245,2084,8593
14/09/2013,1562,1290,3677
15/09/2013,578,703,1571
16/09/2013,724,831,1941
17/09/2013,912,1050,2449
18/09/2013,1145,1079,2835
19/09/2013,4124,1821,8145
20/09/2013,1577,1293,3712
21/09/2013,2515,1287,5151
22/09/2013,320,294,784
23/09/2013,718,487,1587
24/09/2013,5307,1581,9717
25/09/2013,4555,1935,8889
26/09/2013,5645,2423,11078
27/09/2013,6691,2540,12799
28/09/2013,1327,461,2497
30/09/2013,2546,1601,5505
01/10/2013,3373,1750,6921
02/10/2013,4136,1733,8076
03/10/2013,4728,1690,8939
04/10/2013,1521,1181,3512
05/10/2013,1473,1108,3367
06/10/2013,627,676,1621
07/10/2013,1008,862,2385
08/10/2013,662,784,1800
09/10/2013,921,1022,2434
10/10/2013,3227,1837,6785
11/10/2013,5723,2579,11354
12/10/2013,4833,2465,9876
13/10/2013,3267,1871,6880
14/10/2013,5599,2419,11004
15/10/2013,4936,2334,9902
16/10/2013,5575,2126,10642
17/10/2013,5170,2356,10283
18/10/2013,5620,2128,10745
19/10/2013,5898,2446,11529
20/10/2013,2712,1793,5951
21/10/2013,4458,2005,8841
22/10/2013,3501,2119,7487
23/10/2013,961,1064,2538
24/10/2013,3146,1687,6500
25/10/2013,3928,1917,7940
26/10/2013,2363,1364,4985
27/10/2013,1100,798,2483
28/10/2013,1757,1434,4128
29/10/2013,1152,1112,2878
30/10/2013,2746,1724,5935
31/10/2013,1804,1281,4047
01/11/2013,1656,1351,3890
02/11/2013,3195,1858,6756
03/11/2013,755,914,2072
04/11/2013,3068,1975,6679
05/11/2013,5405,2175,10463
06/11/2013,2419,1858,5568
07/11/2013,1485,1407,3676
08/11/2013,2327,1789,5353
09/11/2013,3622,2382,7936
10/11/2013,3553,2078,7527
11/11/2013,3058,1702,6392
12/11/2013,1351,1223,3294
13/11/2013,1469,1231,3483
14/11/2013,1647,1437,3962
15/11/2013,2003,1486,4558
16/11/2013,1075,1051,2698
17/11/2013,3680,1850,7492
18/11/2013,3040,1795,6456
19/11/2013,2367,1566,5196
20/11/2013,2799,1562,5854
21/11/2013,6716,2733,13059
22/11/2013,8622,2778,15997
23/11/2013,6558,2400,12456
24/11/2013,7742,2369,14240
25/11/2013,10866,2940,19601
26/11/2013,2793,1723,6006
27/11/2013,503,522,1294
28/11/2013,5159,2138,10049
29/11/2013,1236,1272,3167
30/11/2013,2184,1581,4930
01/12/2013,2741,1575,5778
02/12/2013,2730,1636,5821
03/12/2013,1210,1075,2931
04/12/2013,1278,1190,3150
05/12/2013,753,888,2043
06/12/2013,2694,1754,5885
07/12/2013,3742,1850,7588
08/12/2013,706,788,1859
09/12/2013,1688,1184,3773
10/12/2013,1956,1366,4366
11/12/2013,3949,1790,7846
12/12/2013,3682,1806,7453
13/12/2013,1831,1468,4269
14/12/2013,1357,1155,3235
15/12/2013,1868,1506,4370
16/12/2013,1139,1184,2931
17/12/2013,2387,1415,5075
18/12/2013,2505,1401,5227
19/12/2013,1164,1143,2896
20/12/2013,1321,1119,3145
21/12/2013,1213,1093,2949
22/12/2013,642,805,1790
23/12/2013,2768,1668,5912
24/12/2013,699,724,1795
25/12/2013,53,249,331
26/12/2013,1440,1110,3318
27/12/2013,767,813,1989
28/12/2013,920,984,2393
29/12/2013,1393,1142,3278
30/12/2013,1963,1833,4842
31/12/2013,2607,1823,5821
01/01/2014,882,1220,2563
02/01/2014,1258,1114,3042
03/01/2014,1027,986,2552
04/01/2014,3760,1857,7570
05/01/2014,2022,1353,4453
06/01/2014,1467,1136,3327
07/01/2014,1183,976,2784
08/01/2014,1474,1196,3448
09/01/2014,1727,1638,4269
10/01/2014,2939,1959,6466
11/01/2014,2927,1872,6361
12/01/2014,3742,1924,7662
13/01/2014,4786,2306,9644
14/01/2014,4656,1980,9119
15/01/2014,5430,2348,10674
16/01/2014,6432,2471,12309
17/01/2014,7029,2609,12971
18/01/2014,4452,1965,8775
19/01/2014,3065,1631,6335
20/01/2014,3944,1910,7956
21/01/2014,3867,1951,7866
22/01/2014,1825,805,3604
23/01/2014,1710,1638,4260
24/01/2014,5096,2307,10077
25/01/2014,888,1064,2419
26/01/2014,1054,911,2443
27/01/2014,2865,1573,5966
28/01/2014,5999,2373,11571
29/01/2014,5022,2133,9788
30/01/2014,4563,2079,9050
31/01/2014,4242,1836,8340
01/02/2014,2356,1592,5189
02/02/2014,892,866,2240
03/02/2014,2148,1387,4680
04/02/2014,3972,1869,7960
05/02/2014,4802,1905,9241
06/02/2014,2721,1671,5844
07/02/2014,3943,1885,7931
08/02/2014,2504,1511,5330
09/02/2014,668,758,1783
10/02/2014,2201,1583,4958
11/02/2014,1896,1336,4198
12/02/2014,3537,1748,7171
13/02/2014,1019,944,2506
14/02/2014,4538,1918,8876
15/02/2014,1507,1370,3682
16/02/2014,1738,1282,3948
17/02/2014,6532,2243,12208
18/02/2014,6120,2206,11590
19/02/2014,5933,1976,11079
20/02/2014,1488,1176,3439
21/02/2014,1407,1087,3223
22/02/2014,1093,963,2632
23/02/2014,706,713,1796
24/02/2014,2899,1646,6093
25/02/2014,1735,1218,3864
26/02/2014,108,114,279
27/02/2014,1501,1072,3374
28/02/2014,4010,2199,8348
01/03/2014,2390,1709,5373
02/03/2014,1957,1554,4524
03/03/2014,1630,1798,4297
04/03/2014,1471,1380,3635
05/03/2014,1631,1300,3775
06/03/2014,3804,1915,7747
07/03/2014,1607,1361,3826
08/03/2014,2528,1606,5470
09/03/2014,824,1048,2261
10/03/2014,3830,1884,7756
11/03/2014,4659,2090,9234
12/03/2014,3892,2049,8016
13/03/2014,2380,1539,5189
14/03/2014,882,1014,2368
15/03/2014,368,730,1294
16/03/2014,489,700,1451
17/03/2014,831,936,2210
18/03/2014,853,941,2248
19/03/2014,779,757,1953
20/03/2014,1153,1266,3034
21/03/2014,1426,1212,3387
22/03/2014,1404,1353,3506
23/03/2014,1500,1414,3714
24/03/2014,3247,1869,6867
25/03/2014,4338,2014,8665
26/03/2014,5192,2632,10593
27/03/2014,4174,2282,8682
28/03/2014,4242,2445,8950
29/03/2014,3338,1931,7043
30/03/2014,1920,1595,4539
31/03/2014,3191,2241,7134
01/04/2014,4935,2900,10467
02/04/2014,3403,2032,7251
03/04/2014,4939,2522,10095
04/04/2014,6227,3275,12822
05/04/2014,4511,2313,9231
06/04/2014,1024,1061,2631
07/04/2014,3366,2078,7239
08/04/2014,757,1031,2192
09/04/2014,1303,1229,3227
10/04/2014,844,1148,2442
11/04/2014,1688,1551,4139
12/04/2014,558,683,1539
13/04/2014,508,774,1552
14/04/2014,1012,1227,2779
15/04/2014,2414,1799,5500
16/04/2014,1750,1448,4131
17/04/2014,913,1209,2609
18/04/2014,3048,1933,6606
19/04/2014,3875,2185,8127
20/04/2014,3025,1914,6552
21/04/2014,2553,1866,5780
22/04/2014,4070,2518,8759
23/04/2014,4124,2228,8551
24/04/2014,3409,2239,7466
25/04/2014,5037,2487,10210
26/04/2014,3822,2304,8164
27/04/2014,2860,2125,6510
28/04/2014,3719,2392,8095
